PRODUCT,STUDENT_ID,DOMAIN,SUM_NGR_SKILLS_MASTERED,SUM_NGR_SKILLS_PASSED_IN_PLACEMENT,CNT_TOTAL_NGR_SKILLS_AVAILABLE,PCT_SKILL_GROWTH
my_math_academy,1172567,Algebraic reasoning,7,26,37,0.189189
my_math_academy,1172567,Data analysis,5,1,6,0.833333
my_math_academy,1172567,Geometry and measurement,12,7,19,0.631579
my_math_academy,1172567,Number and operations,42,76,120,0.350000
my_math_academy,1172568,Algebraic reasoning,7,30,37,0.189189
my_math_academy,1172568,Data analysis,1,5,6,0.166667
my_math_academy,1172568,Geometry and measurement,6,13,19,0.315789
my_math_academy,1172568,Number and operations,14,79,120,0.116667
my_math_academy,1172570,Algebraic reasoning,12,0,37,0.324324
my_math_academy,1172570,Data analysis,5,0,6,0.833333
my_math_academy,1172570,Geometry and measurement,10,3,19,0.526316
my_math_academy,1172570,Number and operations,19,12,98,0.193878
my_math_academy,1172571,Algebraic reasoning,8,11,37,0.216216
my_math_academy,1172571,Data analysis,0,5,6,0.000000
my_math_academy,1172571,Geometry and measurement,1,12,19,0.052632
my_math_academy,1172571,Number and operations,12,55,98,0.122449
my_math_academy,1172572,Algebraic reasoning,9,0,37,0.243243
my_math_academy,1172572,Data analysis,6,0,6,1.000000
my_math_academy,1172572,Geometry and measurement,18,0,19,0.947368
my_math_academy,1172572,Number and operations,30,0,98,0.306122
my_math_academy,1172573,Algebraic reasoning,9,11,37,0.243243
my_math_academy,1172573,Data analysis,5,0,6,0.833333
my_math_academy,1172573,Geometry and measurement,13,0,19,0.684211
my_math_academy,1172573,Number and operations,20,48,98,0.204082
my_math_academy,1172574,Algebraic reasoning,5,30,37,0.135135
my_math_academy,1172574,Data analysis,1,5,6,0.166667
my_math_academy,1172574,Geometry and measurement,5,13,19,0.263158
my_math_academy,1172574,Number and operations,4,75,120,0.033333
my_math_academy,1172577,Algebraic reasoning,12,0,37,0.324324
my_math_academy,1172577,Data analysis,5,0,6,0.833333
my_math_academy,1172577,Geometry and measurement,10,3,19,0.526316
my_math_academy,1172577,Number and operations,13,12,98,0.132653
my_math_academy,1172587,Algebraic reasoning,5,22,45,0.111111
my_math_academy,1172587,Data analysis,0,6,6,0.000000
my_math_academy,1172587,Geometry and measurement,0,19,20,0.000000
my_math_academy,1172587,Number and operations,7,88,274,0.025547
my_math_academy,1172597,Algebraic reasoning,3,32,37,0.081081
my_math_academy,1172597,Data analysis,0,5,6,0.000000
my_math_academy,1172597,Geometry and measurement,0,13,19,0.000000
my_math_academy,1172597,Number and operations,9,77,120,0.075000
my_math_academy,1172599,Algebraic reasoning,11,20,37,0.297297
my_math_academy,1172599,Data analysis,5,0,6,0.833333
my_math_academy,1172599,Geometry and measurement,8,5,19,0.421053
my_math_academy,1172599,Number and operations,39,65,120,0.325000
my_math_academy,1172600,Algebraic reasoning,11,26,37,0.297297
my_math_academy,1172600,Data analysis,6,0,6,1.000000
my_math_academy,1172600,Geometry and measurement,14,5,19,0.736842
my_math_academy,1172600,Number and operations,31,65,120,0.258333
my_math_academy,1172601,Algebraic reasoning,4,13,37,0.108108
my_math_academy,1172601,Data analysis,6,0,6,1.000000
my_math_academy,1172601,Geometry and measurement,10,5,19,0.526316
my_math_academy,1172601,Number and operations,2,59,120,0.016667
my_math_academy,1172602,Algebraic reasoning,5,26,37,0.135135
my_math_academy,1172602,Data analysis,0,6,6,0.000000
my_math_academy,1172602,Geometry and measurement,1,16,19,0.052632
my_math_academy,1172602,Number and operations,6,65,120,0.050000
my_math_academy,1172603,Algebraic reasoning,1,32,37,0.027027
my_math_academy,1172603,Data analysis,1,5,6,0.166667
my_math_academy,1172603,Geometry and measurement,6,13,19,0.315789
my_math_academy,1172603,Number and operations,11,76,120,0.091667
my_math_academy,1172604,Algebraic reasoning,7,0,37,0.189189
my_math_academy,1172604,Data analysis,5,0,6,0.833333
my_math_academy,1172604,Geometry and measurement,9,3,19,0.473684
my_math_academy,1172604,Number and operations,23,6,98,0.234694
my_math_academy,1172606,Algebraic reasoning,7,11,37,0.189189
my_math_academy,1172606,Data analysis,5,0,6,0.833333
my_math_academy,1172606,Geometry and measurement,13,0,19,0.684211
my_math_academy,1172606,Number and operations,6,33,98,0.061224
my_math_academy,1172607,Data analysis,1,5,6,0.166667
my_math_academy,1172607,Geometry and measurement,2,13,19,0.105263
my_math_academy,1172607,Number and operations,9,7,98,0.091837
my_math_academy,1172608,Algebraic reasoning,24,0,37,0.648649
my_math_academy,1172608,Data analysis,5,0,6,0.833333
my_math_academy,1172608,Geometry and measurement,13,0,19,0.684211
my_math_academy,1172608,Number and operations,35,12,98,0.357143
my_math_academy,1172609,Algebraic reasoning,9,21,37,0.243243
my_math_academy,1172609,Data analysis,5,0,6,0.833333
my_math_academy,1172609,Geometry and measurement,8,5,19,0.421053
my_math_academy,1172609,Number and operations,10,59,120,0.083333
my_math_academy,1172617,Algebraic reasoning,2,33,37,0.054054
my_math_academy,1172617,Data analysis,0,5,6,0.000000
my_math_academy,1172617,Geometry and measurement,0,13,19,0.000000
my_math_academy,1172617,Number and operations,3,77,120,0.025000
my_math_academy,1172618,Algebraic reasoning,1,32,37,0.027027
my_math_academy,1172618,Data analysis,1,5,6,0.166667
my_math_academy,1172618,Geometry and measurement,6,13,19,0.315789
my_math_academy,1172618,Number and operations,7,81,120,0.058333
my_math_academy,1172619,Algebraic reasoning,11,20,37,0.297297
my_math_academy,1172619,Data analysis,6,0,6,1.000000
my_math_academy,1172619,Geometry and measurement,14,5,19,0.736842
my_math_academy,1172619,Number and operations,52,65,120,0.433333
my_math_academy,1172624,Algebraic reasoning,15,12,37,0.405405
my_math_academy,1172624,Data analysis,0,5,6,0.000000
my_math_academy,1172624,Geometry and measurement,0,13,19,0.000000
my_math_academy,1172624,Number and operations,12,33,98,0.122449
my_math_academy,1172625,Algebraic reasoning,6,0,37,0.162162
my_math_academy,1172625,Data analysis,2,0,6,0.333333
my_math_academy,1172625,Geometry and measurement,5,3,19,0.263158
my_math_academy,1172625,Number and operations,19,2,98,0.193878
my_math_academy,1172626,Algebraic reasoning,17,12,37,0.459459
my_math_academy,1172626,Data analysis,6,0,6,1.000000
my_math_academy,1172626,Geometry and measurement,14,3,19,0.736842
my_math_academy,1172626,Number and operations,25,33,98,0.255102
my_math_academy,1172638,Algebraic reasoning,23,0,37,0.621622
my_math_academy,1172638,Data analysis,5,0,6,0.833333
my_math_academy,1172638,Geometry and measurement,10,0,19,0.526316
my_math_academy,1172638,Number and operations,38,0,98,0.387755
my_math_academy,1172641,Algebraic reasoning,0,2,37,0.000000
my_math_academy,1172641,Data analysis,2,0,6,0.333333
my_math_academy,1172641,Geometry and measurement,5,3,19,0.263158
my_math_academy,1172641,Number and operations,5,23,98,0.051020
my_math_academy,1172653,Algebraic reasoning,20,13,37,0.540541
my_math_academy,1172653,Data analysis,4,1,6,0.666667
my_math_academy,1172653,Geometry and measurement,6,7,19,0.315789
my_math_academy,1172653,Number and operations,14,59,120,0.116667
my_math_academy,1172657,Algebraic reasoning,2,0,37,0.054054
my_math_academy,1172657,Data analysis,5,0,6,0.833333
my_math_academy,1172657,Geometry and measurement,12,0,19,0.631579
my_math_academy,1172657,Number and operations,16,2,98,0.163265
my_math_academy,1172658,Algebraic reasoning,4,9,37,0.108108
my_math_academy,1172658,Data analysis,1,5,6,0.166667
my_math_academy,1172658,Geometry and measurement,7,12,19,0.368421
my_math_academy,1172658,Number and operations,10,30,98,0.102041
my_math_academy,1172674,Algebraic reasoning,6,9,37,0.162162
my_math_academy,1172674,Data analysis,5,0,6,0.833333
my_math_academy,1172674,Geometry and measurement,13,0,19,0.684211
my_math_academy,1172674,Number and operations,16,33,98,0.163265
my_math_academy,1172675,Algebraic reasoning,10,0,37,0.270270
my_math_academy,1172675,Data analysis,5,0,6,0.833333
my_math_academy,1172675,Geometry and measurement,10,0,19,0.526316
my_math_academy,1172675,Number and operations,28,0,98,0.285714
my_math_academy,1172695,Algebraic reasoning,6,0,37,0.162162
my_math_academy,1172695,Data analysis,5,0,6,0.833333
my_math_academy,1172695,Geometry and measurement,10,3,19,0.526316
my_math_academy,1172695,Number and operations,24,2,98,0.244898
my_math_academy,1172696,Algebraic reasoning,9,26,37,0.243243
my_math_academy,1172696,Data analysis,6,0,6,1.000000
my_math_academy,1172696,Geometry and measurement,14,5,19,0.736842
my_math_academy,1172696,Number and operations,29,65,120,0.241667
my_math_academy,1172697,Algebraic reasoning,6,30,37,0.162162
my_math_academy,1172697,Data analysis,1,5,6,0.166667
my_math_academy,1172697,Geometry and measurement,5,13,19,0.263158
my_math_academy,1172697,Number and operations,8,75,120,0.066667
my_math_academy,1172700,Algebraic reasoning,13,20,37,0.351351
my_math_academy,1172700,Data analysis,5,1,6,0.833333
my_math_academy,1172700,Geometry and measurement,12,7,19,0.631579
my_math_academy,1172700,Number and operations,32,65,120,0.266667
my_math_academy,1172701,Algebraic reasoning,7,26,37,0.189189
my_math_academy,1172701,Data analysis,6,0,6,1.000000
my_math_academy,1172701,Geometry and measurement,14,5,19,0.736842
my_math_academy,1172701,Number and operations,37,76,120,0.308333
my_math_academy,1172703,Algebraic reasoning,7,13,37,0.189189
my_math_academy,1172703,Data analysis,6,0,6,1.000000
my_math_academy,1172703,Geometry and measurement,12,5,19,0.631579
my_math_academy,1172703,Number and operations,8,59,120,0.066667
my_math_academy,1172704,Algebraic reasoning,6,0,45,0.133333
my_math_academy,1172704,Number and operations,10,0,197,0.050761
my_math_academy,1172706,Algebraic reasoning,0,2,37,0.000000
my_math_academy,1172706,Data analysis,0,5,6,0.000000
my_math_academy,1172706,Geometry and measurement,0,13,19,0.000000
my_math_academy,1172706,Number and operations,2,32,98,0.020408
my_math_academy,1172710,Algebraic reasoning,26,2,37,0.702703
my_math_academy,1172710,Data analysis,5,0,6,0.833333
my_math_academy,1172710,Geometry and measurement,13,0,19,0.684211
my_math_academy,1172710,Number and operations,34,37,98,0.346939
my_math_academy,1172711,Algebraic reasoning,10,0,37,0.270270
my_math_academy,1172711,Data analysis,5,0,6,0.833333
my_math_academy,1172711,Geometry and measurement,13,0,19,0.684211
my_math_academy,1172711,Number and operations,25,2,98,0.255102
